id,img_type,start_utc,llcrnrlat,llcrnrlon,urcrnrlat,urcrnrlon,proj,height_m,width_m
S778114,ir069,2018-08-20 19:50:00+00:00,32.78153318672339,-92.6318411840526,35.944590009439366,-88.13407528844033,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S778114,ir107,2018-08-20 19:50:00+00:00,32.78153318672339,-92.6318411840526,35.944590009439366,-88.13407528844033,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S778114,lght,,32.78153318672339,-92.6318411840526,35.944590009439366,-88.13407528844033,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S778114,vil,2018-08-20 19:50:00+00:00,32.78153318672339,-92.6318411840526,35.944590009439366,-88.13407528844033,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S778114,vis,2018-08-20 19:50:00+00:00,32.78153318672339,-92.6318411840526,35.944590009439366,-88.13407528844033,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S767475,ir069,2018-08-20 21:30:00+00:00,31.033963333355985,-94.47892560195751,34.27830779465892,-90.1554292797638,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S767475,ir107,2018-08-20 21:30:00+00:00,31.033963333355985,-94.47892560195751,34.27830779465892,-90.1554292797638,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S767475,lght,,31.033963333355985,-94.47892560195751,34.27830779465892,-90.1554292797638,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S767475,vil,2018-08-20 21:30:00+00:00,31.033963333355985,-94.47892560195751,34.27830779465892,-90.1554292797638,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S767475,vis,2018-08-20 21:30:00+00:00,31.033963333355985,-94.47892560195751,34.27830779465892,-90.1554292797638,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S771210,ir069,2018-08-20 21:40:00+00:00,43.5906576535172,-115.36594827756728,47.574769057614525,-111.41062677608632,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S771210,ir107,2018-08-20 21:40:00+00:00,43.5906576535172,-115.36594827756728,47.574769057614525,-111.41062677608632,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S771210,lght,,43.5906576535172,-115.36594827756728,47.574769057614525,-111.41062677608632,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S771210,vil,2018-08-20 21:40:00+00:00,43.5906576535172,-115.36594827756728,47.574769057614525,-111.41062677608632,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S771210,vis,2018-08-20 21:40:00+00:00,43.5906576535172,-115.36594827756728,47.574769057614525,-111.41062677608632,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S782022,ir069,2018-08-21 00:20:00+00:00,30.151475640446364,-112.77218373213584,34.03252824863278,-109.22916148505044,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S782022,ir107,2018-08-21 00:20:00+00:00,30.151475640446364,-112.77218373213584,34.03252824863278,-109.22916148505044,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S782022,lght,,30.151475640446364,-112.77218373213584,34.03252824863278,-109.22916148505044,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S782022,vil,2018-08-21 00:20:00+00:00,30.151475640446364,-112.77218373213584,34.03252824863278,-109.22916148505044,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S782022,vis,2018-08-21 00:20:00+00:00,30.151475640446364,-112.77218373213584,34.03252824863278,-109.22916148505044,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
S769788,ir069,2018-08-21 17:10:00+00:00,38.39236184896567,-81.3277367323262,41.014590930727344,-75.94113108597004,+proj=laea +lat_0=38 +lon_0=-98 +units=m +a=6370997.0 +ellps=sphere ,384000.0,384000.0
